title,year,director,duration,cast,genre,imdb_rating,budget,revenue,profit_percent
Star Wars,1977,George Lucas,121,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.6,11000000,775398007,6949.072790909091
The Empire Strikes Back,1980,Irvin Kershner,127,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.7,18000000,538400000,2891.1111111111113
The Godfather,1972,Francis Ford Coppola,175,"Marlon Brando, Al Pacino, James Caan",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,9.2,6000000,245066411,3984.4401833333336
Raiders of the Lost Ark,1981,Steven Spielberg,115,"Harrison Ford, Paul Freeman, Karen Allen",Action  •  Adventure  •  Costume Adventure,8.4,18000000,389925971,2066.2553944444444
The Shawshank Redemption,1994,Frank Darabont,142,"Tim Robbins, Morgan Freeman, Bob Gunton",Based-on-20th-Century-Literature  •  Buddy Film  •  Drama,9.3,25000000,28341469,13.365875999999998
Pulp Fiction,1994,Quentin Tarantino,154,"John Travolta, Samuel L. Jackson, Bruce Willis",Black Comedy  •  Comedy Thriller  •  Crime Comedy,8.9,8000000,213928762,2574.109525
Return of the Jedi,1983,Richard Marquand,134,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.3,32350000,572700000,1670.32457496136
Back to the Future,1985,Robert Zemeckis,116,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Adventure Comedy  •  Adventure  •  Americana,8.5,19000000,381109762,1905.840852631579
Harakiri,1962,Masaki Kobayashi,133,"Tatsuya Nakadai, Rentaro Mikuni, Shima Iwashita",Based-on-20th-Century-Literature  •  Drama  •  Foreign Language Film,8.6,0,0,NA
Ikiru,1952,Akira Kurosawa,143,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka",Based-on-19th-Century-Literature  •  Drama  •  Foreign Language Film,8.3,0,55240,NA
The Godfather Part II,1974,Francis Ford Coppola,200,"Al Pacino, Robert Duvall, Diane Keaton",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,9,13000000,102600000,689.2307692307693
The Dark Knight,2008,Christopher Nolan,152,"Christian Bale, Heath Ledger, Aaron Eckhart",Action Thriller  •  Action  •  Based-on-Comics,9,185000000,1004558444,443.00456432432435
Fight Club,1999,David Fincher,139,"Brad Pitt, Edward Norton, Helena Bonham Carter",Based-on-20th-Century-Literature  •  Black Comedy  •  Comedy Drama,8.8,63000000,100853753,60.085322222222224
GoodFellas,1990,Martin Scorsese,145,"Robert De Niro, Ray Liotta, Joe Pesci",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic,8.7,25000000,46800000,87.2
Rear Window,1954,Alfred Hitchcock,112,"James Stewart, Grace Kelly, Wendell Corey",Based-on-20th-Century-Literature  •  Mystery  •  Psychological Thriller,8.5,1000000,37042336,3604.2336
High and Low,1963,Akira Kurosawa,142,"Toshirô Mifune, Tatsuya Nakadai, Kyoko Kagawa",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime Thriller,8.4,0,0,NA
City Lights,1931,Charles Chaplin,87,"Charles Chaplin, Virginia Cherrill, Florence Lee",Comedy Drama  •  Comedy  •  Drama,8.5,1500000,4250000,183.33333333333331
Alien,1979,Ridley Scott,117,"Tom Skerritt, Sigourney Weaver, Ian Holm",Body Horror  •  Cyborg / Android / Robot  •  Horror,8.5,11000000,104931801,853.9254636363637
The Silence of the Lambs,1991,Jonathan Demme,118,"Jodie Foster, Scott Glenn, Anthony Hopkins",Based-on-20th-Century-Literature  •  Cannibal Film  •  Crime Thriller,8.6,19000000,272742922,1335.4890631578946
